x          y
0.010875 0.01
0.097774 0.01
0.15185 0.01
0.044919 0.01
0.11667 0.01
0.028204 0.01
0.06161 0.01
0.10738 0.01
0.12517 0.01
0.08186 0.01
0.18978 0.01
0.2357 0.01
0.21768 0.01
0.19921 0.01
0.22658 0.01
0.13424 0.01
0.17075 0.01
0.16117 0.01
0.24481 0.01
0.14327 0.01
0.30142 0.01
0.32137 0.01
0.27216 0.01
0.25394 0.01
0.20855 0.01
0.28157 0.01
0.18029 0.01
0.29148 0.01
0.26327 0.01
0.61784 0.01
0.35138 0.01
0.3114 0.01
0.41261 0.01
0.39226 0.01
0.42273 0.01
0.37182 0.01
0.40245 0.01
0.34129 0.01
0.45281 0.01
0.33132 0.01
0.44284 0.01
0.66598 0.01
0.4919 0.01
0.51103 0.01
0.43281 0.01
0.50142 0.01
0.47254 0.01
0.55018 0.01
0.48228 0.01
0.36158 0.01
0.65631 0.01
0.54041 0.01
0.69498 0.01
0.6853 0.01
0.58899 0.01
0.57933 0.01
0.59863 0.01
0.62743 0.01
0.38205 0.01
0.46271 0.01
0.72419 0.01
0.70469 0.01
0.67564 0.01
0.71443 0.01
0.55993 0.01
0.53062 0.01
0.63702 0.01
0.5208 0.01
0.60824 0.01
0.56964 0.01
0.84536 0.01
0.77293 0.01
0.79125 0.01
0.74373 0.01
0.78228 0.01
0.80014 0.01
0.64665 0.01
0.76327 0.01
0.73396 0.01
0.75351 0.01
0.92681 0.01
0.80922 0.01
0.89059 0.01
0.82733 0.01
0.86345 0.01
0.83629 0.01
0.87247 0.01
0.81835 0.01
0.88152 0.01
0.85443 0.01
0.97201 0.01
0.99 0.01
0.95395 0.01
0.98105 0.01
0.93586 0.01
0.96299 0.01
0.9449 0.01
0.91775 0.01
0.90869 0.01
0.89965 0.01
